Gene.symbol,x axis,y axis,Unnamed: 3,Gene.symbol.1,x axis.1,y axis.1,Gene.symbol.2,x axis.2,y axis.2,Unnamed: 10,Gene.symbol.3,x axis.3,y axis.3,Unnamed: 14,Gene.symbol.4,x axis.4,y axis.4,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
MAGEA6///MAGEA3,3.108,2.972,,BCKDK,-0.972,8.687,APTR,-0.388,2.344,,APOBEC3B,1.663,4.295,,ARIH2,-0.536,3.966,,,Cirrhotic,Training
LCN2,3.074,2.736,,BCL11A,1.733,3.668,AQP1,1.121,5.115,,APOC2,0.816,4.768,,ARL15,0.201,2.759,,,Cirrhotic,Training
STK39,3.07,6.846,,BCL2L14,2.179,6.531,AQP2,-0.129,2.378,,APOL3,1.023,3.037,,ARL4A,-0.414,3.268,,,Cirrhotic,Training
EZH2,3.067,7.341,,BCL7B,-0.228,1.386,AR,-0.329,2.625,,AQP12B///AQP12A,-0.408,3.035,,ARMC1,0.32,3.237,,,Cirrhotic,Training
DUSP9,3.05,4.096,,BCL9,2.033,20.051,ARAF,-0.413,5.221,,AQP8,1.288,4.534,,ARMCX1,-0.519,4.911,,,Cirrhotic,Training
NDC80,3.047,8.505,,BEND3,1.795,9.442,ARF1,0.192,2.183,,ARF1,0.43,3.618,,ARMT1,0.371,2.832,,,Cirrhotic,Training
KIF11,3.039,9.578,,BEST4,0.827,1.436,ARF4,0.369,2.965,,ARFIP2,0.333,3.755,,ARPC1A,-0.748,3.964,,,Cirrhotic,Training
SGO2,3.037,7.86,,BEX2,3.768,12.319,ARID3B,1.313,3.806,,ARHGAP10,-0.759,3.172,,ARPP21,0.537,2.71,,,Cirrhotic,Training
SULT1C2,3.011,2.924,,BGLAP,0.564,1.528,ARMC9,0.19,4.523,,ARHGAP4,-0.693,3.823,,ARRB1,-0.686,3.886,,,Cirrhotic,Training
NRCAM,2.988,3.328,,BHLHA15,1.924,6.078,ARMCX6,0.489,3.012,,ARHGAP6,0.977,3.066,,ARRB2,0.159,2.716,,,Cirrhotic,Training
ECT2,2.98,5.277,,BHLHE40,-0.999,3.065,ARMT1,0.363,2.831,,ARHGEF11,0.383,3.486,,ARV1,0.329,2.823,,,Cirrhotic,Training
KIF2C,2.975,6.978,,BICD1,1.775,7.296,ARNT2,0.288,2.561,,ARHGEF16,0.602,3.004,,AS3MT,0.832,4.112,,,Cirrhotic,Training
FLVCR1,2.949,7.993,,BICDL1,2.17,8.371,ASPM,0.341,10.491,,ARHGEF6,-0.874,3.959,,ASB11,0.161,3.564,,,Cirrhotic,Training
COX7B2,2.933,4.672,,BIN1,0.459,2.858,ASPN,0.927,3.121,,ARID1B,-0.49,3.183,,ASCC3,0.671,4.617,,,Cirrhotic,Training
TRIP13,2.889,5.933,,BIRC3,1.675,4.21,ASPSCR1,-0.347,2.734,,ARID2,0.648,4.263,,ASL,0.696,3.137,,,Cirrhotic,Training
FAT1,2.881,8.35,,BIRC5,3.642,45.053,ATXN7L1,-0.545,3.223,,ARL15,0.933,3.916,,ASPM,0.341,10.491,,,Cirrhotic,Training
NCAPG,2.856,6.27,,BIVM-ERCC5,-0.326,1.472,AURKA,3.128,10.022,,ARL3,-0.577,3.041,,ASS1,0.733,3.482,,,Cirrhotic,Training
CENPW,2.852,5.233,,BLOC1S3,0.89,12.441,AURKB,1.692,5.022,,ARMC5,-0.71,3.442,,ATOH8,0.164,3.089,,,Cirrhotic,Training
TRIM16,2.839,3.746,,BLZF1,0.728,7.518,AUTS2,-0.382,2.166,,ARMC6,-0.981,3.186,,ATP11C,-0.454,2.994,,,Cirrhotic,Training
SLC7A11,2.838,4.435,,BMP8B,1.224,2.941,AVIL,-0.183,2.394,,ARMC9,0.228,3.24,,ATP1B1,1.145,3.408,,,Cirrhotic,Training
PLPPR1,2.823,5.053,,BMS1P4-AGAP5,0.456,2.873,AVPR1A,-0.785,4.372,,ARMCX2,-0.57,2.933,,ATP2A2,0.417,3.074,,,Cirrhotic,Training
NUSAP1,2.82,7.361,,BNIPL,1.419,6.356,AXIN1,0.121,2.47,,ARMT1,0.482,4.083,,ATP2B2,0.647,3.65,,,Cirrhotic,Training
CD109,2.819,3.402,,BOC,0.883,2.226,AXIN2,0.474,2.608,,ASB14,-0.198,3.108,,ATP5J2,0.351,3.033,,,Cirrhotic,Training
CCNA2,2.781,8.239,,BOK-AS1,-0.952,3.775,AZIN1,0.413,2.211,,ASCC3,0.861,3.836,,ATXN1L,-0.681,5.724,,,Cirrhotic,Training
TNFSF4,2.756,4.557,,BOLA1,0.427,2.009,B2M,0.306,2.63,,ASH2L,-0.685,3.635,,AURKA,3.128,10.022,,,Cirrhotic,Training
HOMER1,2.745,4.463,,BPHL,-0.559,1.645,BEX1,0.354,3.38,,ASPG,-0.828,2.931,,AURKB,1.692,5.022,,,Cirrhotic,Training
CKAP2,2.725,9.291,,BPNT1,0.446,2.202,BIN2,0.739,3.657,,ASPM,2.395,3.801,,AVPR1A,-0.657,3.064,,,Cirrhotic,Training
UHRF1,2.724,6.03,,BRCA2,1.539,10.471,BIRC2,-0.222,2.212,,ASXL2,0.64,5.023,,B3GAT3,0.414,3.332,,,Cirrhotic,Training
MEP1A,2.717,4.325,,BRD3,0.569,2.933,BIRC5,1.131,5.447,,ATF5,-0.858,5.558,,B3GNT4,0.186,2.934,,,Cirrhotic,Training
CKS2,2.713,5.689,,BRPF3,0.909,6.431,BIRC6,-0.275,2.411,,ATG12,0.503,3.039,,B4GALNT1,0.238,3.366,,,Cirrhotic,Training
FOXQ1,2.693,2.758,,BRSK1,1.862,7.812,BTG2,0.736,3.498,,ATG13,0.252,2.935,,B4GALT2,0.253,4.227,,,Cirrhotic,Training
FKBP1B,2.682,2.429,,BRSK2,2.713,5.812,BTLA,-0.207,2.781,,ATN1,0.181,2.834,,BAIAP2L2,0.918,4.121,,,Cirrhotic,Training
